Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration
09520,2005 October 3,10:32:47,65,71,134,A,0.3306,0.9576,12.9N,28.7E,71,209,162,04m32s
09521,2006 March 29,10:12:23,65,77,139,T,0.3843,1.0515,23.2N,16.7E,67,149,184,04m07s
09522,2006 September 22,11:41:16,65,83,144,A,-0.4062,0.9352,20.6S,9.1W,66,31,261,07m09s
09523,2007 March 19,02:32:57,65,89,149,P,1.0728,0.8756,61.0N,55.5E,0,92,,
09524,2007 September 11,12:32:24,66,95,154,P,-1.1255,0.7507,61.0S,90.2W,0,80,,
09525,2008 February 7,03:56:10,66,100,121,A,-0.957,0.965,67.6S,150.5W,16,269,444,02m12s
09526,2008 August 1,10:22:12,66,106,126,T,0.8307,1.0394,65.7N,72.3E,34,235,237,02m27s
09527,2009 January 26,07:59:45,66,112,131,A,-0.282,0.9282,34.1S,70.2E,73,337,280,07m54s
09528,2009 July 22,02:36:25,66,118,136,T,0.0698,1.0799,24.2N,144.1E,86,198,258,06m39s
09529,2010 January 15,07:07:39,67,124,141,A,0.4002,0.919,1.6N,69.3E,66,165,333,11m08s
09530,2010 July 11,19:34:38,67,130,146,T,-0.6788,1.058,19.7S,121.9W,47,14,259,05m20s
09531,2011 January 4,08:51:42,67,136,151,P,1.0627,0.8576,64.7N,20.8E,0,155,,
09532,2011 June 1,21:17:18,67,141,118,P,1.213,0.601,67.8N,46.8E,0,6,,
09533,2011 July 1,08:39:30,67,142,156,Pb,-1.4917,0.0971,65.2S,28.6E,0,21,,
09534,2011 November 25,06:21:24,68,147,123,P,-1.0536,0.9047,68.6S,82.4W,0,165,,
09535,2012 May 20,23:53:54,68,153,128,A,0.4828,0.9439,49.1N,176.3E,61,171,237,05m46s
09536,2012 November 13,22:12:55,68,159,133,T,-0.3719,1.05,40.0S,161.3W,68,11,179,04m02s
09537,2013 May 10,00:26:20,68,165,138,A,-0.2694,0.9544,2.2N,175.5E,74,350,173,06m03s
09538,2013 November 3,12:47:36,68,171,143,H3,0.3272,1.0159,3.5N,11.7W,71,192,58,01m40s
09539,2014 April 29,06:04:33,69,177,148,A-,-1,0.9868,70.6S,131.3E,0,319,-,-
09540,2014 October 23,21:45:39,69,183,153,P,1.0908,0.8114,71.2N,97.2W,0,231,,
09541,2015 March 20,09:46:47,69,188,120,T,0.9454,1.0445,64.4N,6.6W,18,135,463,02m47s
09542,2015 September 13,06:55:19,69,194,125,P,-1.1004,0.7875,72.1S,2.3W,0,77,,
09543,2016 March 9,01:58:19,70,200,130,T,0.2609,1.045,10.1N,148.8E,75,162,155,04m09s
09544,2016 September 1,09:08:02,70,206,135,A,-0.333,0.9736,10.7S,37.8E,70,16,100,03m06s
09545,2017 February 26,14:54:33,70,212,140,A,-0.4578,0.9922,34.7S,31.2W,63,340,31,00m44s
09546,2017 August 21,18:26:40,70,218,145,T,0.4367,1.0306,37.0N,87.7W,64,198,115,02m40s
09547,2018 February 15,20:52:33,71,224,150,P,-1.2116,0.5991,71.0S,0.6E,0,228,,
09548,2018 July 13,03:02:16,71,229,117,P,-1.3542,0.3365,67.9S,127.4E,0,8,,
09549,2018 August 11,09:47:28,71,230,155,P,1.1476,0.7368,70.4N,174.5E,0,321,,
09550,2019 January 6,01:42:38,71,235,122,P,1.1417,0.7145,67.4N,153.6E,0,178,,
09551,2019 July 2,19:24:08,71,241,127,T,-0.6466,1.0459,17.4S,109.0W,50,359,201,04m33s
09552,2019 December 26,05:18:53,72,247,132,A,0.4135,0.9701,1.0N,102.3E,66,184,118,03m40s
09553,2020 June 21,06:41:15,72,253,137,Am,0.1209,0.994,30.5N,79.7E,83,174,21,00m38s
09554,2020 December 14,16:14:39,72,259,142,T,-0.2939,1.0254,40.3S,67.9W,73,10,90,02m10s
09555,2021 June 10,10:43:07,72,265,147,A,0.9152,0.9435,80.8N,66.8W,23,90,527,03m51s
09556,2021 December 4,07:34:38,73,271,152,T,-0.9526,1.0367,76.8S,46.2W,17,115,419,01m54s
09557,2022 April 30,20:42:36,73,276,119,P,-1.1901,0.6396,62.1S,71.5W,0,304,,
